src,tgt,hyp,ref,task,model,label
Не волнуйся. Это только временно.,Don't worry. It's only temporary.,"Don't worry, it's only temporary.",either,MT,,0
"Тома никогда нет там, где он должен быть.",Tom is never where he's supposed to be.,Tom is never where he should be.,either,MT,,0
Мне сложно работать с Томом.,I have trouble working with Tom.,It's hard for me to work with Tom.,either,MT,,0
"Воду, пожалуйста.",I'd like some water.,"Water, please.",either,MT,,0
"Я не ожидал, что Том предаст меня.",I didn't think that Tom would betray me.,I didn't expect Tom to betray me.,either,MT,,0
"Всё не так плохо, как думает Том.",Things aren't as bad as Tom thinks.,It's not as bad as Tom thinks.,either,MT,,0
Не усложняйте.,Keep it simple.,Don't complicate it.,either,MT,,0
"Почему вы не можете принять меня таким, какой я есть?",Why can't you accept me as I am?,Why can't you accept me as I am?,either,MT,,0
Ненавижу это место.,I hate this place.,I hate this place.,either,MT,,0
Том находится там в качестве добровольца.,Tom is there as a volunteer.,Tom is here as a volunteer.,either,MT,,0
Можно мне тоже одну?,"Can I have one, too?",Can I have one too?,either,MT,,0
"Ты в жизни не такой, как на фотографии.",You look different than your picture.,You're different in life than in a picture.,either,MT,,1
Она начала осваиваться в своем новом офисе.,She began to get the feel of her new office.,She started working in her new office.,either,MT,,1
У меня сейчас нет дел.,I don't have anything to do now.,I don't have anything to do right now.,either,MT,,0
Экватор делит землю на два полушария.,The equator divides the earth into two hemispheres.,The equator divides the earth into two hemispheres.,either,MT,,0
Я хотел бы стать христианином.,I would like to become a Christian.,I would like to become a Christian.,either,MT,,0
Все будут тебе завидовать.,Everyone will envy you.,Everyone will be jealous of you.,either,MT,,0
Том купил себе новое пианино.,Tom bought himself a new piano.,Tom bought a new piano.,either,MT,,0
"Вы знали, что у Тома три брата?",Did you know that Tom had three brothers?,Did you know Tom had three brothers?,either,MT,,0
Не давайте Тому прыгать на кровати.,Don't let Tom jump on the bed.,Don't let Tom jump on the bed.,either,MT,,0
Впредь обещаю быть пунктуальным.,"From now on, I promise to be punctual.",I promise to be punctual.,either,MT,,0
Поделите это между собой.,Divide this among yourselves.,Share this with each other.,either,MT,,0
У Тома есть выбор.,Tom has a choice.,Tom has a choice.,either,MT,,0
"Мы надеемся, что нам не понадобится это делать.",We're hoping we won't have to do that.,We hope we don't need to do that.,either,MT,,1
Как ты его уговорил?,How did you convince him?,How did you persuade him?,either,MT,,0
"Том видел Мэри, но ничего ей не сказал.","Tom saw Mary, but didn't say anything to her.","Tom saw Mary, but didn't tell her anything.",either,MT,,0
В зиме мне не нравится холод.,What I hate about winter is the cold.,I don’t like the cold in winter.,either,MT,,0
Том познакомился с Мэри год назад.,Tom met Mary a year ago.,Tom met Mary a year ago.,either,MT,,0
"Мне нужна не белая, а цветная бумага.",I don't need white but coloured paper.,"I don't need white paper, I need coloured paper.",either,MT,,0
Том покупает одежду в торговом центре.,Tom buys clothes at the mall.,Tom's buying clothes at the mall.,either,MT,,1
"Мне было просто всё равно, понимаешь?","I really didn't care, you know?","I just didn't care, you know?",either,MT,,0
Можете дать мне свой перочинный нож?,Can you give me your pocket knife?,Can you give me your feather knife?,either,MT,,1
Я хочу поговорить с тобой об этом отчёте.,I want to talk to you about this report.,I want to talk to you about this report.,either,MT,,0
У меня пропала одежда.,My clothes are gone.,I've lost my clothes.,either,MT,,0
"Том заметил, что дверь открыта.",Tom noticed that the door was open.,Tom noticed that the door was open.,either,MT,,0
Её муж богат.,Her husband is rich.,Her husband is rich.,either,MT,,0
Это невозможно или просто сложно?,Is it impossible or just hard?,Is it impossible or just difficult?,either,MT,,0
